# Sets
set G  := G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 G13 G14 G15 G16 G17 G18 G19 G20;
set B  := B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B13 B14 B15 B16 B17 B18 B19 B20 B21 B22 B23 B24 B25 B26 B27 B28 B29 B30;
set L  := L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30 L31 L32 L33 L34 L35 L36 L37 L38 L39;
set GS := SG1 SG2 W3;
set SD := SD1 SD2;

# Generator Parameters
param Pmin := 
    G1 50 G2 30 G3 20 G4 40 G5 35 G6 50 G7 40 G8 50 G9 30 G10 25
    G11 60 G12 50 G13 45 G14 55 G15 40 G16 35 G17 30 G18 50 G19 40 G20 35;

param Pmax :=
    G1 200 G2 150 G3 120 G4 180 G5 160 G6 190 G7 180 G8 200 G9 150 G10 140
    G11 220 G12 210 G13 190 G14 230 G15 190 G16 160 G17 140 G18 210 G19 180 G20 170;

param Pmax_renewables:=
    SG1 50
    SG2 70
    W3 60;

param Pmax_storage:=
    SD1 100
    SD2 150;

param Storage_duration :=
    SD1 4
    SD2 2;

param Storage_efficiency :=
    SD1 0.95
    SD2 0.95;

# Initial state of charge (SOC) for storage units
param SOC_init :=
    SD1 0.5 #200MW
    SD2 1;  #300MW

# Mapping Storage units to Buses
param StorageBus :=
    SD1 B5
    SD2 B15;

param Cgen :=
    G1 10 G2 15 G3 12 G4 14 G5 13 G6 12 G7 16 G8 15 G9 14 G10 13
    G11 11 G12 10 G13 13 G14 14 G15 12 G16 11 G17 16 G18 13 G19 14 G20 15;

param Cstartup :=
    G1 5000 G2 3000 G3 2000 G4 4000 G5 3500 G6 5000 G7 4000 G8 4500 G9 3000 G10 2500
    G11 5500 G12 5000 G13 4000 G14 6000 G15 4000 G16 3500 G17 3000 G18 5000 G19 4000 G20 3500;

param Cshutdown :=
    G1 2000 G2 1500 G3 1000 G4 1800 G5 1700 G6 2000 G7 1600 G8 1900 G9 1400 G10 1200
    G11 2200 G12 2100 G13 1600 G14 2500 G15 1800 G16 1700 G17 1200 G18 2000 G19 1600 G20 1400;

param MUT := 
    G1 6 G2 4 G3 3 G4 5 G5 5 G6 6 G7 5 G8 6 G9 4 G10 3
    G11 7 G12 6 G13 5 G14 8 G15 5 G16 4 G17 3 G18 6 G19 5 G20 4;

param MDT := 
    G1 6 G2 4 G3 3 G4 5 G5 5 G6 6 G7 5 G8 6 G9 4 G10 3
    G11 7 G12 6 G13 5 G14 8 G15 5 G16 4 G17 3 G18 6 G19 5 G20 4;

param Rup := 
    G1 50 G2 40 G3 30 G4 45 G5 40 G6 50 G7 45 G8 50 G9 35 G10 30
    G11 55 G12 50 G13 45 G14 60 G15 40 G16 35 G17 30 G18 50 G19 45 G20 40;

param Rdown := 
    G1 50 G2 40 G3 30 G4 45 G5 40 G6 50 G7 45 G8 50 G9 35 G10 30
    G11 55 G12 50 G13 45 G14 60 G15 40 G16 35 G17 30 G18 50 G19 45 G20 40;

param y0 := 
    G1 1 G2 0 G3 1 G4 1 G5 0 G6 1 G7 0 G8 1 G9 0 G10 1
    G11 1 G12 1 G13 0 G14 1 G15 0 G16 1 G17 0 G18 1 G19 0 G20 1;

# Mapping Generators to Buses
param GenBus :=
    G1 B1  G2 B2  G3 B3  G4 B4  G5 B5 G6 B6  G7 B7  G8 B8  G9 B9  G10 B10
    G11 B11 G12 B12 G13 B13 G14 B14 G15 B15 G16 B16 G17 B17 G18 B18 G19 B19 G20 B20;

param GenBusRenewables :=
    SG1 B5 SG2 B10 W3 B15;

param RenewablesProfile: "1"   "2"   "3"   "4"   "5"   "6"   "7"   "8"   "9"   "10"  "11"  "12"  "13"  "14"  "15"  "16"  "17"  "18"  "19"  "20"  "21"  "22"  "23"  "24" :=
                    SG1   0     0     0     0     0     10    30    45    50    50    45    40    30    20    10    5     0     0     0     0     0     0     0     0
                    SG2   0     0     0     0     0     15    40    60    70    70    65    60    50    40    20    10    5     0     0     0     0     0     0     0
                    W3    0     0     0     0     0     20    50    60    60    60    55    50    40    30    20    10    0     0     0     0     0     0     0     0;

# Demand (in MW) at each bus over the 24-hour period
param Demand:
          "1"   "2"  "3"  "4"  "5"  "6"  "7"  "8"  "9"  "10"  "11"  "12"  "13"  "14"  "15"   "16"   "17"   "18"   "19"   "20"   "21"   "22"   "23"   "24" :=
  "B1"    100   90   85   80   70   75   85   90   100  120   130   140   150   145   135    125    110    105    100     95     90     85     80     75
  "B2"     50   45   40   35   30   40   50   55    60   65    70    75    80    75    70     65     60     55     50     45     40     35     30     25
  "B3"     80   75   70   65   60   65   70   75    80   85    90    95   100    95    90     85     80     75     70     65     60     55     50     45
  "B4"    110  100   95   90   85   80   90   95   100  105   110   120   125   130   125    115    110    105    100     95     90     85     80     75
  "B5"     90   85   80   75   70   75   85   90    95  100   110   120   130   125   120    115    110    105    100     95     90     85     80     75
  "B6"     60   55   50   45   40   45   50   55    60   65    70    75    80    85    80     75     70     65     60     55     50     45     40     35
  "B7"    100   95   90   85   80   85   90   95   100  105   110   115   120   125   130    125    120    115    110    105    100     95     90     85
  "B8"     70   65   60   55   50   55   60   65    70   75    80    85    90    95   100     95     90     85     80     75     70     65     60     55
  "B9"    120  110  105  100   95  100  110  115   120  125   130   135   140   145   140    135    130    125    120    115    110    105    100     95
  "B10"    60   55   50   45   40   45   50   55    60   65    70    75    80    85    80     75     70     65     60     55     50     45     40     35
  "B11"    90   85   80   75   70   75   80   85    90   95   100   105   110   115   120    115    110    105    100     95     90     85     80     75
  "B12"    75   70   65   60   55   60   65   70    75   80    85    90    95   100   105    110    115    120    115    110    105    100     95     90
  "B13"   110  105  100   95   90   95  100  105   110  115   120   125   130   135   140    135    130    125    120    115    110    105    100     95
  "B14"    80   75   70   65   60   65   70   75    80   85    90    95   100    95    90     85     80     75     70     65     60     55     50     45
  "B15"    90   85   80   75   70   75   80   85    90   95   100   105   110   115   120    115    110    105    100     95     90     85     80     75
  "B16"    50   45   40   35   30   35   40   45    50   55    60    65    70    75    80     75     70     65     60     55     50     45     40     35
  "B17"    60   55   50   45   40   45   50   55    60   65    70    75    80    85    80     75     70     65     60     55     50     45     40     35
  "B18"    75   70   65   60   55   60   65   70    75   80    85    90    95   100   105    110    115    120    115    110    105    100     95     90
  "B19"    90   85   80   75   70   75   80   85    90   95   100   105   110   115   120    115    110    105    100     95     90     85     80     75
  "B20"    60   55   50   45   40   45   50   55    60   65    70    75    80    85    80     75     70     65     60     55     50     45     40     35
  "B21"    80   75   70   65   60   65   70   75    80   85    90    95   100    95    90     85     80     75     70     65     60     55     50     45
  "B22"    70   65   60   55   50   55   60   65    70   75    80    85    90    95   100     95     90     85     80     75     70     65     60     55
  "B23"    90   85   80   75   70   75   80   85    90   95   100   105   110   115   120    115    110    105    100     95     90     85     80     75
  "B24"    80   75   70   65   60   65   70   75    80   85    90    95   100    95    90     85     80     75     70     65     60     55     50     45
  "B25"    60   55   50   45   40   45   50   55    60   65    70    75    80    85    80     75     70     65     60     55     50     45     40     35
  "B26"    75   70   65   60   55   60   65   70    75   80    85    90    95   100   105    110    115    120    115    110    105    100     95     90
  "B27"    85   80   75   70   65   70   75   80    85   90    95   100   105   110   115    120    115    110    105    100     95     90     85     80
  "B28"    90   85   80   75   70   75   80   85    90   95   100   105   110   115   120    115    110    105    100     95     90     85     80     75
  "B29"   120  110  105  100   95  100  110  115   120  125   130   135   140   145   140    135    130    125    120    115    110    105    100     95
  "B30"    50   45   40   35   30   35   40   45    50   55    60    65    70    75    80     75     70     65     60     55     50     45     40     35;

# Transmission Line Limits (MW capacity for each line)
param LineMax :=
    L1  100  L2  120  L3  80   L4  150  L5  90   L6  110  L7  130  L8  100  L9  120  L10 110
    L11 100  L12 120  L13 90   L14 140  L15 110  L16 150  L17 130  L18 110  L19 120  L20 130
    L21 100  L22 120  L23 80   L24 150  L25 90   L26 110  L27 130  L28 100  L29 120  L30 110
    L31 100  L32 120  L33 90   L34 140  L35 110  L36 150  L37 130  L38 110  L39 120;

param LineFrom :=
    L1  B1   L2  B1   L3  B2   L4  B2   L5  B3   L6  B4   L7  B4   L8  B5   L9  B6   L10 B6
    L11 B7   L12 B7   L13 B8   L14 B8   L15 B9   L16 B10  L17 B10  L18 B11  L19 B12  L20 B12
    L21 B13  L22 B13  L23 B14  L24 B15  L25 B16  L26 B17  L27 B18  L28 B19  L29 B20  L30 B21
    L31 B22  L32 B23  L33 B24  L34 B25  L35 B26  L36 B27  L37 B28  L38 B29  L39 B30;

param LineTo :=
    L1  B2   L2  B3   L3  B4   L4  B5   L5  B6   L6  B7   L7  B8   L8  B9   L9  B10  L10 B11
